City,Library,Address,Zip,Phone,State
Attica,Stevens Memorial Community Library,146 Main Street,14011,(585) 591-2733,New York
Auburn,Seymour Public Library District,176-178 Genesee Street,13021,(315) 252-2571,New York
Aurora,Aurora Free Library,370 Main Street,13026,(315) 364-8074,New York
Ausable Forks,Ausable Forks Free Library,9 Church Lane,12912,(518) 647-5596,New York
Averill Park,Sand Lake Town Library,8428 Miller Hill Road,12018,(518) 674-5050,New York
Avoca,Avoca Free Library,18 North Main Street,14809,(607) 566-9279,New York
Avon,Avon Free Library,143 Genesee Street,14414,(585) 226-8461,New York
Babylon,Babylon School District Public Library,24 South Carll Avenue,11702,(631) 669-1624,New York
Bainbridge,Bainbridge Free Library,13 North Main Street,13733,(607) 967-5305,New York
Baldwin,Baldwin Public Library,2385 Grand Avenue,11510,(516) 223-6228,New York
Baldwinsville,Baldwinsville Public Library,33 East Genesee Street,13027,(315) 635-5631,New York
Ballston Spa,Ballston Spa Public Library,21 Milton Avenue,12020,(518) 885-5022,New York
Barker,Barker Free Library,8706 Main Street,14012,(716) 795-3344,New York
Barneveld,Barneveld Free Library Association,118 Boon Street,13304,(315) 896-2096,New York
Batavia,Richmond Memorial Library,19 Ross Street,14020,(585) 343-9550,New York
Bath,Dormann Library,101 West Morris Street,14810,(607) 776-4613,New York
Bayside,Queens Borough Public Library - Bay Terrace,18-36 Bell Boulevard,11360,(718) 423-7004,New York
Bayside,Queens Borough Public Library - Bayside,214-20 Northern Boulevard,11361,(718) 229-1834,New York
Bayside,Queens Borough Public Library - Windsor Park,79-50 Bell Boulevard,11364,(718) 468-8300,New York
Bayville,Bayville Free Library,34 School Street,11709,(516) 628-2765,New York
Beacon,Howland Public Library,313 Main Street,12508,(845) 831-1134,New York
Beaver Falls,Beaver Falls Library,9607 Lewis Street,13305,(315) 346-6216,New York
Bedford,Bedford Free Library,32 Village Green,10506,(914) 234-3570,New York
Bedford Hills,Bedford Hills Free Library,26 Main Street,10507,(914) 666-6472,New York
Belfast,Belfast Public Library,75 South Main Street,14711,(585) 365-2072,New York
Bellerose,Queens Borough Public Library - Bellerose,250-06 Hillside Avenue,11426,(718) 831-8644,New York
Belleville,Belleville Free Library,8086 County Route 75,13611,(315) 846-5103,New York
Bellmore,Bellmore Memorial Library,2288 Bedford Avenue,11710,(516) 785-2990,New York
Bellport,Long Island Library Resources Council,627 N. Sunrise Service Road,11713,,New York
Bellport,Long Island Talking Book Library,627 N. Sunrise Service Road,11713,(631) 286-1600,New York
Bellport,South Country Library,22 Station Road,11713,(631) 286-0818,New York
Belmont,Free Library Of The Belmont Literary And Historical Society,2 Willets Avenue,14813,(585) 268-5308,New York
Bemus Point,Bemus Point Public Library,13 Main Street,14712,(716) 386-2274,New York
Bergen,Byron-Bergen Public Library,13 S. Lake Street,14416,(585) 494-1120,New York
Berkshire,Berkshire Free Library,12519 State Route 38,13736,(607) 657-4418,New York
Berlin,Berlin Free Town Library,47 Main Street,12022,(518) 658-2231,New York
Berne,Berne Public Library,1656 Helderberg Trail,12023,(518) 872-1246,New York
Bethpage,Bethpage Public Library,47 Powell Avenue,11714,(516) 931-3907,New York
Bethpage,Briarcliffe College Library - Bethpage,1055 Stewart Avenue,11714,(516) 918-3627,New York
Big Flats,Big Flats Library,78 Canal St.,14814,(607) 562-3300,New York
Binghamton,Broome County Public Library,185 Court Street,13901,(607) 778-6400,New York
Binghamton,Fenton Free Library,1062 Chenango Street,13901,(607) 724-8649,New York
Black River,Sally Ploof Hunter Memorial Library,101 Public Works Drive,13612,(315) 773-5163,New York
Blauvelt,Blauvelt Free Library,541 Western Highway,10913,(845) 359-2811,New York
Bliss,Eagle Free Library,3413 School Street,14024,(585) 322-7701,New York
Bloomfield,Allens Hill Free Library,3818 County Road 40,14469,(585) 229-5636,New York
Bloomfield,Bloomfield Public Library,9 Church Street,14469,(585) 657-6264,New York
Blue Point,Bayport-Blue Point Public Library,203 Blue Point Avenue,11715,(631) 363-6133,New York
Bohemia,Connetquot Public Library,760 Ocean Avenue,11716,(631) 567-5079,New York
Bolivar,Bolivar Free Library,390 Main Street,14715,(585) 928-2015,New York
Bolton Landing,Bolton Free Library,4922 Lakeshore Drive,12814,(518) 644-2233,New York
Boonville,Erwin Library Institute,,13309,(315) 942-4834,New York
Boston,Boston Free Library,9474 Boston State Road,14025,(716) 941-3516,New York
Bovina Center,Bovina Library Association,33 Maple Avenue,13740,(607) 832-4884,New York
Branchport,Modeste Bedient Memorial Library,3699 Route 54a,14418,(315) 595-2899,New York
Brant Lake,Horicon Free Public Library,6604 State Route 8,12815,(518) 494-4189,New York
Brentwood,Brentwood Public Library,34 Second Avenue,11717,(631) 273-7883,New York
Brewster,Brewster Public Library,79 Main Street,10509,(845) 279-6421,New York
Briarcliff Manor,Briarcliff Manor Public Library,1 Library Road,10510,(914) 941-7072,New York
Briarwood,Queens Borough Public Library - Briarwood,85-12 Main Street,11435,(718) 658-1680,New York
Bridgehampton,Horticultural Alliance Library,843 Sag Harbor Tpke,11932,(631) 537-2223,New York
Bridgehampton,The Hampton Library,2478 Main Street,11932,(631) 537-0015,New York
Bridgeport,Sullivan Free Library Of Bridgeport,8979 North Road,13030,(315) 633-2253,New York
Bridgewater,Bridgewater Free Library,404 Pritchard Avenue,13313,(315) 822-6475,New York
Brightwaters,Bay Shore-Brightwaters Public Library,,11718,(631) 665-4350,New York
Broad Channel,Queens Borough Public Library - Broad Channel,16-26 Cross Bay Boulevard,11693,(718) 318-4943,New York
Brockport,Seymour Library,161 East Ave,14420,(585) 637-1050,New York
Brocton,Ahira Hall Memorial Library,37 West Main Street,14716,(716) 792-9418,New York
Bronx,Allerton Library,2740 Barnes Avenue,10467,(718) 881-4240,New York
Bronx,Baychester Library,2049 Asch Loop North,10475,(718) 379-6700,New York
Bronx,Belmont Library And Enrico Fermi Cultural Center,610 E. 186th Street,10458,(718) 933-6410,New York
Bronx,Bronx Library Center,310 East Kingsbridge Road,10458,(718) 579-4244,New York
Bronx,Castle Hill Library,947 Castle Hill Avenue,10473,(718) 824-3838,New York
Bronx,City Island Library,320 City Island Avenue,10464,(718) 885-1703,New York
Bronx,Clasons Point Library,1215 Morrison Avenue,10472,(718) 842-1235,New York
Bronx,Eastchester Library,1385 East Gun Hill Road,10469,(718) 653-3292,New York
Bronx,Edenwald Library,1255 East 233rd Street,10466,(718) 798-3355,New York
Bronx,Francis Martin Library,2150 University Avenue,10453,(718) 295-5287,New York
Bronx,Grand Concourse Library,155 East 173rd Street,10457,(718) 583-6611,New York
Bronx,High Bridge Library,78 West 168th Street,10452,(718) 293-7800,New York
Bronx,Hunts Point Library,877 Southern Boulevard,10459,(718) 617-0338,New York
Bronx,Jerome Park Library,118 Eames Place,10468,(718) 549-5200,New York
Bronx,Kingsbridge Library,291 West 231st Street,10463,(718) 548-5656,New York
Bronx,Melrose Library,910 Morris Avenue,10451,(718) 588-0110,New York
Bronx,Morris Park Library,985 Morris Park Avenue,10462,(718) 931-0636,New York
Bronx,Morrisania Library,610 East 169th Street,10456,(718) 589-9268,New York
Bronx,Mosholu Library,285 East 205th Street,10467,(718) 882-8239,New York
Bronx,Mott Haven Library,321 East 140th Street,10454,(718) 665-4878,New York
Bronx,Parkchester Library,1985 Westchester Avenue,10462,(718) 829-7830,New York
Bronx,Pelham Bay Library,3060 Middletown Road,10461,(718) 792-6744,New York
Bronx,Riverdale Library,5540 Mosholu Avenue,10471,(718) 549-1212,New York
Bronx,Sedgwick Library,"1701 Martin Luther King, Jr. Blvd.",10453,(718) 731-2074,New York
Bronx,Soundview Library,660 Soundview Avenue,10473,(718) 589-0880,New York
Bronx,Spuyten Duyvil Library,650 W. 235th St.,10463,(718) 796-1202,New York
Bronx,Throgs Neck Library,3025 Cross Bronx Expressway Extension,10465,(718) 792-2612,New York
Bronx,Tremont Library,1866 Washington Avenue,10457,(718) 299-5177,New York
Bronx,Van Cortlandt Library,3874 Sedgwick Avenue,10463,(718) 543-5150,New York
Bronx,Van Nest Library,2147 Barnes Avenue,10462,(718) 829-5864,New York
Bronx,Wakefield Library,4100 Lowerre Place,10466,(718) 652-4663,New York
Bronx,West Farms Library,2085 Honeywell Avenue,10460,(718) 367-5376,New York
Bronx,Westchester Square Library,2521 Glebe Avenue,10461,(718) 863-0436,New York
Bronx,Woodlawn Heights Library,4355 Katonah Avenue,10470,(718) 519-9627,New York
Bronx,Woodstock Library,761 East 160th Street,10456,(718) 665-6255,New York
Bronxville,Bronxville Public Library,201 Pondfield Road,10708,(914) 337-7680,New York
Brookhaven,Brookhaven Free Library,273 Beaver Dam Road,11719,(631) 286-1923,New York
Brookhaven,Dowling College Library,150 Idle Hour Blvd,11769,(631) 244-3280,New York
Brooklyn,Arlington Library,203 Arlington Ave. At Warwick St.,11207,(718) 277-6105,New York
Brooklyn,Bay Ridge Library,7223 Ridge Blvd. At 73rd St.,11209,(718) 748-5709,New York
Brooklyn,Bedford Learning Center,496 Franklin Avenue,11238,(718) 623-2134,New York
Brooklyn,Bedford Library,496 Franklin Avenue,11238,(718) 623-0012,New York
Brooklyn,Borough Park Library,1265 43rd St. At 13th Ave.,11219,(718) 437-4085,New York
Brooklyn,Brighton Beach Library,16 Brighton First Rd. At Brighton Beach Ave.,11235,(718) 946-2917,New York
Brooklyn,Brooklyn Heights Library,280 Cadman Plaza West At Tillary St.,11201,(718) 623-7100,New York
Brooklyn,Brooklyn Public Library,10 Grand Army Plaza,11238,(718) 230-2403,New York
Brooklyn,Brooklyn Public Library System,,,,New York
Brooklyn,Brower Park Library,725 St. Marks Ave. At Nostrand Ave.,11216,(718) 773-7208,New York
Brooklyn,Brownsville Library,61 Glenmore Ave. At Watkins St.,11212,(718) 498-9721,New York
Brooklyn,Bushwick Library,340 Bushwick Ave. At Seigel St.,11206,(718) 602-1348,New York
Brooklyn,Business Library,280 Cadman Plaza W. At Tillary St.,11201,(718) 623-7000,New York
Brooklyn,Canarsie Library,1580 Rockaway Pkwy. At Ave. J,11236,(718) 257-6547,New York
Brooklyn,Carroll Gardens Library,396 Clinton St. Union St.,11231,(718) 596-6972,New York
Brooklyn,Central Library,10 Grand Army Plaza,11238,(718) 230-2100,New York
Brooklyn,Central Library Learning Center,,11238,(718) 230-2191,New York
Brooklyn,Clarendon Library,2035 Nostrand Ave.,11210,(718) 421-1159,New York
Brooklyn,Clinton Hill Library,380 Washington Ave. At Lafayette Ave.,11238,(718) 398-8713,New York
Brooklyn,Coney Island Learning Center,1901 Mermaid Avenue At 19th St.,11224,(718) 265-3880,New York
Brooklyn,Cortelyou Library,1305 Cortelyou Rd. At Argyle Rd.,11226,(718) 693-7763,New York
Brooklyn,Crown Heights Library,560 New York Ave. At Maple St.,11225,(718) 773-1180,New York
Brooklyn,Cypress Hills Library,1197 Sutter Ave. At Crystal St.,11208,(718) 277-6004,New York
Brooklyn,Dekalb Library,790 Bushwick Ave. At Dekalb Ave.,11221,(718) 455-3898,New York
Brooklyn,Dyker Library,8202 13th Ave. ( 82nd St.),11228,(718) 748-6261,New York
Brooklyn,East Flatbush Library,9612 Church Ave. At. Rockaway Pkwy.,11212,(718) 922-0927,New York
Brooklyn,Eastern Parkway Learning Center,1044 Eastern Parkway,11213,(718) 778-9330,New York
Brooklyn,Eastern Parkway Library,1044 Eastern Pkwy. At Schenectady Ave.,11213,(718) 953-4225,New York
Brooklyn,Flatbush Library,22 Linden Blvd. At Flatbush Ave.,11226,(718) 856-0813,New York
Brooklyn,Flatlands Library,2065 Flatbush Ave. At Ave. P,11234,(718) 253-4409,New York
Brooklyn,Fort Hamilton Library,9424 Fourth Ave.,11209,(718) 748-6919,New York
Brooklyn,Gerritsen Beach Library,2808 Gerritsen Ave. ( Bartlett Place),11229,(718) 368-1435,New York
Brooklyn,Gravesend Library,303 Ave. X At West. 2nd St.,11223,(718) 382-5792,New York
Brooklyn,Greenpoint Library,107 Norman Ave. At Leonard St.,11222,(718) 349-8504,New York
Brooklyn,Highlawn Library,1664 W. 13th St. At Kings Highway,11223,(718) 234-7208,New York
Brooklyn,Homecrest Library,2525 Coney Island Ave. At Ave. V,11223,(718) 382-5924,New York
Brooklyn,Jamaica Bay Library,9727 Seaview Ave. At E. 98th St.,11236,(718) 241-3571,New York
Brooklyn,Kensington Library,410 Ditmas Ave. Between East 4th East 5th St.,11218,(718) 435-9431,New York
Brooklyn,Kings Bay Library,3650 Nostrand Ave. (Near Ave. W),11229,(718) 368-1709,New York
Brooklyn,Kings Highway Library,2115 Ocean Ave.,11229,(718) 375-3037,New York
Brooklyn,Leonard Library,81 Devoe St. At Leonard St.,11211,(718) 486-3365,New York
Brooklyn,Macon Library,361 Lewis Ave. At Macon St.,11233,(718) 573-5606,New York
Brooklyn,Mapleton Library,1702 60th Street,11204,(718) 256-2117,New York
Brooklyn,Marcy Library,617 Dekalb Ave. At Nostrand Ave.,11216,(718) 935-0032,New York
Brooklyn,Mckinley Park Library,6802 Fort Hamilton Pkwy (At 68th St.),11219,(718) 748-8001,New York
Brooklyn,Midwood Library,975 East 16th St. At Avenue J,11230,(718) 252-0967,New York
Brooklyn,Mill Basin Library,2385 Ralph Ave (Near Ave N),11234,(718) 241-3973,New York
Brooklyn,New Lots Library,665 New Lots Ave. At Barbey St.,11207,(718) 649-0311,New York
Brooklyn,New Utrecht Library,1743 86th St. At Bay 17th St.,11214,(718) 236-4086,New York
Brooklyn,Pacific Library,25 Fourth Ave. At Pacific St.,11217,(718) 638-1531,New York
Brooklyn,Paerdegat Library,850 E. 59th St. At Paerdegat Ave. South,11234,(718) 241-3994,New York
Brooklyn,Park Slope Library,431 6th Ave. At 9th St.,11215,(718) 832-1853,New York
Brooklyn,Red Hook Library,7 Wolcott St. At Dwight St.,11231,(718) 935-0203,New York
Brooklyn,Rugby Library,1000 Utica Ave. (Near Tilden Ave.),11203,(718) 566-0054,New York
Brooklyn,Ryder Library,5902 23rd Ave. (Bet. 23rd Ave. At 59th St.),11204,(718) 331-2962,New York
Brooklyn,Saratoga Library,8 Thomas S. Boyland St. At Macon St.,11233,(718) 573-5224,New York
Brooklyn,Sheepshead Bay Library,2636 E.14th St. At Ave. Z,11235,(718) 368-1815,New York
Brooklyn,Spring Creek Library,12143 Flatlands Ave. At New Jersey Ave.,11207,(718) 257-6571,New York
Brooklyn,Stone Avenue Library,581 Mother Gaston Boulevard,11212,(718) 485-8347,New York
Brooklyn,Sunset Park Library,5108 4th Ave. At 51st St.,11220,(718) 567-2806,New York
Brooklyn,Ulmer Park Library,2602 Bath Ave At 26th Ave,11214,(718) 265-3443,New York
Brooklyn,Walt Whitman Library,93 Saint Edwards St.,11205,(718) 935-0244,New York
Brooklyn,Washington Irving Library,360 Irving Ave.,11237,(718) 628-8378,New York
Brooklyn,Williamsburgh Library,240 Division Ave. At Marcy Ave.,11211,(718) 302-3485,New York
Brooklyn,Windsor Terrace Library,160 E. 5th St. At Ft. Hamilton Pkwy.,11218,(718) 686-9707,New York
Brownville,Brownville-Glen Park Library,216 Brown Boulevard,13615,(315) 788-7889,New York
Buffalo,Buffalo Erie County Public Library System,1 Lafayette Square,14203,(716) 858-8900,New York
Buffalo,Central Library,1 Lafayette Square,14203,(716) 858-8900,New York
Buffalo,Crane Branch Library,633 Elmwood Avenue,14222,(716) 883-6651,New York
Buffalo,Dudley Branch Library,2010 South Park Avenue,14220,(716) 823-1854,New York
Buffalo,East Clinton Branch Library,1929 Clinton Street,14206,(716) 823-5626,New York
Buffalo,East Delavan Branch Library,1187 E. Delavan Avenue,14215,(716) 896-4433,New York
Buffalo,"Frank E. Merriweather, Jr. Library",1324 Jefferson Avenue,14208,(716) 883-4418,New York
Buffalo,Niagara Branch Library,280 Porter Avenue,14201,(716) 882-1537,New York
Buffalo,North Park Branch Library,975 Hertel Avenue,14216,(716) 875-3748,New York
Buffalo,Riverside Branch Library,820 Tonawanda Street,14207,(716) 875-0562,New York
Buffalo,Town Of Tonawanda Public Library Kenilworth Branch,318 Montrose Avenue,14223,(716) 834-7657,New York
Burnt Hills,Ballston Community Public Library,2 Lawmar Lane,12027,(518) 399-8174,New York
Cairo,Cairo Public Library,512 Main Street,12413,(518) 622-9864,New York
Caledonia,Caledonia Library Association,3108 Main Street,14423,(585) 538-4512,New York
Callicoon,Western Sullivan Public Library - Delaware Free Branch,45 Lower Main Street,12723,(845) 887-4040,New York
Calverton,Baiting Hollow Free Library,4 Warner Drive,11933,(631) 727-8765,New York
Cambria Heights,Queens Borough Public Library - Cambria Heights,218-13 Linden Boulevard,11411,(718) 528-3535,New York
Cambridge,Cambridge Public Library,21 West Main Street,12816,(518) 677-2443,New York
Camden,Camden Library Association,57 Second Street,13316,(315) 245-1980,New York
Camden,Osceola Public Library,2117 North Osceola Road,13316,(315) 599-7122,New York
Camillus,Maxwell Memorial Library,14 Genesee Street,13031,(315) 672-3661,New York
Canajoharie,Canajoharie Library And Art Gallery,2 Erie Boulevard,13317,(518) 673-2314,New York
Canandaigua,Bristol Library,6750 County Road 32,14424,(585) 229-5862,New York
Canandaigua,Pioneer Library System,2557 State Rt. 21,14424,(585) 394-8260,New York
Canandaigua,Wood Library Association,134 North Main Street,14424,(585) 394-1381,New York
Canaseraga,Essential Club Free Library,11 Pratt Street,14822,(607) 545-6443,New York
Canastota,Canastota Public Library,102 West Center Street,13032,(315) 697-7030,New York
Candor,Candor Free Library,2 Bank Street,13743,(607) 659-7258,New York
Canisteo,Wimodaughsian Free Library,19 West Main Street,14823,(607) 698-4445,New York
Canton,Canton Free Library,8 Park Street,13617,(315) 386-3712,New York
Cape Vincent,Cape Vincent Community Library,157 North Real Street,13618,(315) 654-2132,New York
Carmel,Reed Memorial Library,1733 Route 6,10512,(845) 225-2439,New York
Carthage,Carthage Free Library,412 Budd Street,13619,(315) 493-2620,New York
Castile,Cordelia A. Greene Library,11 South Main Street,14427,(585) 493-5466,New York
Castleton,Castleton Public Library,85 South Main Street,12033,(518) 732-0879,New York
Cato,Stewart B. Lang Memorial Library,2577 East Main Street,13033,(315) 626-2101,New York
Catskill,Catskill Public Library,1 Franklin Street,12414,(518) 943-4230,New York
Cattaraugus,Cattaraugus Free Library,21 Main Street,14719,(716) 257-9500,New York
Cazenovia,Cazenovia Public Library Society,100 Albany Street,13035,(315) 655-9322,New York
Center Moriches,Center Moriches Free Public Library,235 Main Street,11934,(631) 878-0940,New York
Centereach,Middle Country Public Library,101 Eastwood Boulevard,11720,(631) 585-9393,New York
Central Islip,Central Islip Public Library,33 Hawthorne Avenue,11722,(631) 234-9333,New York
Central Square,Central Square Library,637 South Main Street,13036,(315) 668-6104,New York
Champlain,Champlain Memorial Library,148 Elm Street,12919,(518) 298-8620,New York
Chappaqua,Chappaqua Library,195 South Greeley Avenue,10514,(914) 238-4779,New York
Chateaugay,Chateaugay Memorial Library,4 John St.,12920,(518) 497-0400,New York
Chatham,Chatham Public Library,11 Woodbridge Avenue,12037,(518) 392-3666,New York
Chaumont,Lyme Free Library,12165 Main Street,13622,(315) 649-5454,New York
Chautauqua,Smith Memorial Library,21 Miller Avenue,14722,(716) 357-6296,New York
Chazy,Chazy Public Library,9633 Route 9,12921,(518) 846-7676,New York
Cheektowaga,Reinstein Memorial Library,2580 Harlem Road,14225,(716) 892-8089,New York
Cherry Valley,Cherry Valley Memorial Library,61 Main Street,13320,(607) 264-8214,New York
Chester,Chester Public Library,1784 Kings Highway,10918,(845) 469-4252,New York
Chestertown,Town Of Chester Public Library,6307 Main St - State Route 9,12817,(518) 494-5384,New York
Chittenango,Sullivan Free Library Of Chittenango,101 Falls Boulevard,13037,(315) 687-6331,New York
Churchville,Newman Riga Library,1 Village Park,14428,(585) 293-2009,New York
Cicero,Northern Onondaga Public Library,8686 Knowledge Lane,13039,(315) 699-2534,New York
Cincinnatus,Kellogg Free Library,5681 Telephone Road Extension,13040,(607) 863-4300,New York
Clarence,Clarence Public Library,,14031,(716) 741-2650,New York
Claverack,Claverack Library,629 Rt 23b,12513,(518) 851-7120,New York
Clayton,Hawn Memorial Library,220 John Street,13624,(315) 686-3762,New York
Clayville,Clayville Library Association,2265 Oneida Street,13322,(315) 839-5893,New York
Clifton Park,Clifton-Park Halfmoon Public Library,475 Moe Road,12065,(518) 371-8622,New York
Clifton Springs,Clifton Springs Library,4 Railroad Avenue,14432,(315) 462-7371,New York
Clinton,Kirkland Town Library,55 1-2 College Street,13323,(315) 853-2038,New York
Clyde,Clyde-Savannah Public Library,204 Glasgow Street,14433,(315) 923-7767,New York
Clymer,Clymer-French Creek Free Library,564 Clymer - Sherman Road,14724,(716) 355-8823,New York
Cobleskill,The Community Library,110 Union Street,12043,(518) 234-7897,New York
Cohocton,Cohocton Public Library,15 S. Main St.,14826,(585) 384-5170,New York
Cohoes,Cohoes Public Library,169 Mohawk Street,12047,(518) 235-2570,New York
Cold Spring,Julia L. Butterfield Memorial Library,10 Morris Avenue,10516,(845) 265-3040,New York
Cold Spring Harbor,Cold Spring Harbor Laboratory Library And Archives,1 Bungtown Rd.,11724,(516) 367-6872,New York
Cold Spring Harbor,Cold Spring Harbor Village Improvement Society Library,95 Harbor Rd,11724,(631) 692-6820,New York
College Point,Queens Borough Public Library - Poppenhusen,121-23 14 Avenue,11356,(718) 359-1102,New York
Collins,Collins Public Library,2341 Main Street,14034,(716) 532-5129,New York
Colton,Hepburn Library,84 Main Street,13625,(315) 262-2310,New York
Commack,Commack Public Library District,18 Hauppauge Road,11725,(631) 499-0888,New York
Constableville,Constableville Library,3038 Main Street,13325,(315) 397-2801,New York
Cooperstown,Village Library Of Cooperstown,22 Main Street,13326,(607) 547-8344,New York
Copiague,Copiague Memorial Public Library,50 Deauville Boulevard,11726,(631) 691-1111,New York
Corfu,Corfu Free Library,7 Maple Avenue,14036,(585) 599-3321,New York
Corinth,Corinth Free Library,89 Main Street,12822,(518) 654-6913,New York
Corning,Southeast Steuben County Library,300 Civic Center Plaza Suite 101,14830,(607) 936-3713,New York
Cornwall,Cornwall Public Library,395 Hudson Street,12518,(845) 534-8282,New York
Corona,Queens Borough Public Library - Corona,38-23 104 Street,11368,(718) 426-2844,New York
Corona,Queens Borough Public Library - Langston Hughes,100-01 Northern Boulevard,11368,(718) 651-1100,New York
Corona,Queens Borough Public Library - Lefrak City,98-30 57 Avenue,11368,(718) 592-7677,New York
Cortland,Cortland Free Library,32 Church Street,13045,(607) 753-1042,New York
Coxsackie,Heermance Memorial Library,1 Ely Street,12051,(518) 731-8084,New York
Cragsmoor,Cragsmoor Free Library,355 Cragsmoor Road,12420,(845) 647-4611,New York
Cranberry Lake,Clifton Community Library,7171 State Highway 3,12927,(315) 848-3256,New York
Croghan,Croghan Free Library,9794 State Route 812,13327,(315) 346-6521,New York
Croton-On-Hudson,Croton Free Library,171 Cleveland Drive,10520,(914) 271-6612,New York
Crown Point,Hammond Library Of Crown Point,2732 Main Street,12928,(518) 597-3616,New York
Cuba,Cuba Circulating Library Association,39 East Main Street,14727,(585) 968-1668,New York
Cutchogue,Cutchogue New Suffolk Free Library,27550 Main Road,11935,(631) 734-6360,New York
Dannemora,Dannemora Free Library,1168 Cook Street,12929,(518) 492-7005,New York
Dansville,Dansville Public Library,200 Main Street,14437,(585) 335-6720,New York
Deer Park,Deer Park Public Library,44 Lake Avenue,11729,(631) 586-3000,New York
Delanson,Schenectady County Public Library - Quaker Street Branch,133 Bull St.,12053,(518) 895-2719,New York
Delevan,Delevan-Yorkshire Public Library,28 School Street,14042,(716) 492-1961,New York
Delhi,Cannon Free Library,40 Elm Street,13753,(607) 746-2662,New York
Delmar,Bethlehem Public Library,451 Delaware Avenue,12054,(518) 439-9314,New York
Depauville,Depauville Free Library,32333 County Route 179,13632,(315) 686-3299,New York
Deposit,Deposit Free Library,159 Front Street,13754,(607) 467-2577,New York
Deruyter,Deruyter Free Library,736 Utica Street,13052,(315) 852-6262,New York
Dewitt,"Dewitt Community Library Assoc., Inc",3649 Erie Blvd East,13214,(315) 446-3578,New York
Dexter,Dexter Free Library,120 East Kirby Street,13634,(315) 639-6785,New York
Diamond Point,Hillview Free Library,3717 Lake Shore Drive,12824,(518) 668-3012,New York
Dix Hills,Half Hollow Hills Community Public Library,55 Vanderbilt Parkway,11746,(631) 421-4530,New York
Dobbs Ferry,Dobbs Ferry Public Library,55 Main Street,10522,(914) 693-6614,New York
